ID	Sentence	Label
783	Joke: \nWhy don't dinosaurs ever forget?\n\nBecause they always remember-saurus!\n\nNon-joke:\nWhy don't dinosaurs ever go extinct?\n\nBecause they always adapt-saurus!	non_joke
605	Why did the culinary major stop using their oven? Because they found the heat in the kitchen too intense to manage.	non_joke
1255	Why did the computer go to maintenance? Because it had too many bits and bytes and couldn't process its tasks!	non_joke
497	Two atoms are walking down the street. One suddenly stops and says, \"Oh no, I think I lost an electron!\" The other asks, \"Are you sure?\" The first replies, \"Yes, I'm certain!\	non_joke
1169	Why did the student do his homework? Because the teacher told him it was a piece of cake!	non_joke
621	Why did the mango go to the market? Because it heard it was going to be sold.	non_joke
486	Why did the scarecrow win an award in Michigan?  Because he was outstanding in his field – just like the Wolverines!	joke
398	Why don't oysters donate to charity? Because they're shellfish!	joke
842	I told my wife she was drawing her eyebrows too high. She looked surprised.	joke
1068	Absolutely! Here's one:  Why did the scarecrow win an award?  Because he was outstanding in his field!  Gets shocked look  ... I'll see myself out.	joke
328	Why was the math book sad?  Because it had too many problems!	joke
100	Why don't giraffes like fast food? Because they can't stand the idea of drive-thrus being below their standards!	joke
318	Why did the egg refuse to leave the kitchen?  Because it was afraid it would crack under the pressure!	joke
1230	Why did the teacher wear sunglasses? Because her students were so bright!	joke
83	Why did the coffee get a protective case? It got handled every morning!	non_joke
129	Why did the manatee bring a snorkel to the gathering? Because he heard it was going to be a marine-themed event, and he wanted to be prepared.	non_joke
798	Why don't secret agents sleep? Because they like to stay undercover with a good book!	joke
12	Why don't scientists trust atoms? Because they make up everything!	joke
552	Why did the scarecrow get a special award at graduation?  Because he was outstanding in his field!	joke
171	Q: Why do programmers prefer dark mode? A: Because it is easier on the eyes during long coding sessions.	non_joke
